ENCERRAMENTO;UF;MUNICIPIO;QTE;ATIVIDADE
01/01/2022;GO;APARECIDA DE GOIANIA;1;REMANEJAMENTO - BL E VOIP
01/01/2022;GO;GOIANIA;1;REMANEJAMENTO - BL E VOIP
01/02/2021;AM;MANAUS;6;REMANEJAMENTO - BL E VOIP
01/02/2021;BA;JEQUIE;1;REMANEJAMENTO - BL E VOIP
01/02/2021;BA;LAURO DE FREITAS;2;REMANEJAMENTO - BL E VOIP
01/02/2021;BA;SALVADOR;1;REMANEJAMENTO - BL E VOIP E IPTV
01/02/2021;CE;JUAZEIRO DO NORTE;1;REMANEJAMENTO - BL E VOIP
01/02/2021;DF;BRASILIA;1;REMANEJAMENTO - BL E VOIP E IPTV
01/02/2021;ES;VITORIA;1;REMANEJAMENTO - BL E VOIP
01/02/2021;MG;JUIZ DE FORA;1;REMANEJAMENTO - IPTV
01/02/2021;MG;MONTES CLAROS;7;REMANEJAMENTO - BL E VOIP
01/02/2021;MT;SINOP;2;REMANEJAMENTO - BL
01/02/2021;PE;OLINDA;1;REMANEJAMENTO - BL
01/02/2021;PI;PARNAIBA;1;REMANEJAMENTO - BL E VOIP
01/02/2021;RJ;CAMPOS DOS GOYTACAZES;1;REMANEJAMENTO - BL E VOIP
01/02/2021;RJ;RIO DE JANEIRO;15;REMANEJAMENTO - BL E VOIP
01/02/2021;RJ;SAO GONCALO;1;REMANEJAMENTO - BL
01/02/2021;RR;BOA VISTA;3;REMANEJAMENTO - BL E VOIP
01/02/2021;RS;ALVORADA;2;REMANEJAMENTO - BL E VOIP
01/02/2021;RS;NOVO HAMBURGO;1;REMANEJAMENTO - BL
01/02/2021;RS;SANTA CRUZ DO SUL;2;REMANEJAMENTO - BL
01/02/2021;SC;CRICIUMA;1;REMANEJAMENTO - BL E VOIP
01/02/2022;AM;MANAUS;2;REMANEJAMENTO - BL
01/02/2022;AP;MACAPA;3;REMANEJAMENTO - BL E VOIP
01/02/2022;BA;LAURO DE FREITAS;1;REMANEJAMENTO - BL
01/02/2022;ES;CARIACICA;2;REMANEJAMENTO - BL E VOIP
01/02/2022;GO;GOIANIA;2;REMANEJAMENTO - BL E VOIP
01/02/2022;MG;BETIM;1;REMANEJAMENTO - BL
01/02/2022;MG;DIVINOPOLIS;1;REMANEJAMENTO - BL
01/02/2022;MG;VARGINHA;1;REMANEJAMENTO - BL
01/02/2022;PE;RECIFE;1;REMANEJAMENTO - BL
01/02/2022;PR;CURITIBA;1;REMANEJAMENTO - VOIP
01/02/2022;PR;PALMAS;1;REMANEJAMENTO - VOIP
01/02/2022;RJ;ANGRA DOS REIS;3;REMANEJAMENTO - BL
01/02/2022;RJ;PETROPOLIS;2;REMANEJAMENTO - BL
01/02/2022;RJ;SAO GONCALO;1;REMANEJAMENTO - BL E VOIP
01/02/2022;RJ;VOLTA REDONDA;1;REMANEJAMENTO - BL
01/02/2022;RS;CANOAS;6;REMANEJAMENTO - BL
01/02/2022;RS;PORTO ALEGRE;2;REMANEJAMENTO - BL
01/02/2022;SC;BLUMENAU;1;REMANEJAMENTO - BL E VOIP
01/02/2022;SC;ITAJAI;1;REMANEJAMENTO - BL E VOIP
01/02/2022;SC;JOINVILLE;3;REMANEJAMENTO - BL
01/03/2021;AC;RIO BRANCO;2;REMANEJAMENTO - BL
01/03/2021;CE;JUAZEIRO DO NORTE;1;REMANEJAMENTO - BL E VOIP
01/03/2021;DF;BRASILIA;9;REMANEJAMENTO - BL
01/03/2021;ES;VITORIA;1;REMANEJAMENTO - BL E VOIP
01/03/2021;MA;SAO LUIS;7;REMANEJAMENTO - BL E VOIP
01/03/2021;MG;NOVA LIMA;1;REMANEJAMENTO - BL E VOIP E IPTV
01/03/2021;MG;UBA;2;REMANEJAMENTO - BL E VOIP
01/03/2021;MG;VARGINHA;1;REMANEJAMENTO - BL E VOIP
01/03/2021;MG;VESPASIANO;1;REMANEJAMENTO - BL E VOIP
